paper,z,type,df,c_lower,c_upper,d,adjusted
"Allen, Gervais, & Smith (2013, Experiment 1)",2.24,t,83,-1.9889597801751628,1.9889597801751624,0.2444040370643115,-0.16554162007185672
"Allen, Gervais, & Smith (2013, Experiment 2)",1.78,t,83,-1.9889597801751628,1.6634201749188848,0.19421392231003323,-0.7293069017838466
Arnette & Pettijohn (2012),1.8110770276274832,chi2,40,-1.96,1.6838510133356526,0.282842712474619,-0.9254150900493893
"Bohns & Wiltermuth (2012, Experiment 2)",2.23,t,26,-2.055529438642873,2.0555294386428726,0.4291637000976218,-0.6421034104157971
"Brinol, Petty, & Wegener (2009)",3.1480152477394387,chi2,67,-1.96,1.96,0.3817529228671957,0.3390051805741188
"Carney, Cuddy, & Yap (2010, main experiment)",2.071231517720798,chi2,39,-1.96,1.96,0.32749045787625625,-1.0768175221906404
Cuddy et al. (in press),2.8861739379323623,chi2,60,-1.96,1.96,0.36953670595649946,0.2919897711039043
"Fischer et al. (2011, Experiment 2)",2.3,t,34,-2.032244509317719,2.032244509317718,0.3887709571751176,-0.20221947904761178
"Huang et al. (2011, Experiment 1)",2.6608269391300143,chi2,73,-1.96,1.96,0.3093148487798083,0.1939888815731067
"Huang et al. (2011, Experiment 3)",2.3259406699226015,chi2,53,-1.96,1.96,0.31652043407209146,-0.014252151678387668
"Lee & Schnall (2014, Experiment 2)",2.253885533916929,chi2,39,-1.96,1.96,0.35637059362410917,-0.14106075388085926
Michalak et al. (2014),1.944222209522358,chi2,28,-1.96,1.7011309342659309,0.3610330006885893,-0.36195527825196094
Nair et al. (2014),2.467792535850613,chi2,70,-1.96,1.96,0.29287309177752047,0.10332033948257739
"Park et al. (2013, Experiment 3)",2.004993765576342,chi2,101,-1.96,1.96,0.19852396506689654,-1.9976716016054794
"Park et al. (2013, Experiment 4)",2.0591260281974,chi2,79,-1.96,1.96,0.23021728866442676,-0.8867994012273797
"Riskind (1984, Experiment 1)",2.264950330581225,chi2,37,-1.96,1.96,0.3674234614174767,-0.12169622108803534
"Riskind (1984, Experiment 2)",1.7888543819998317,chi2,37,-1.96,1.687093619596263,0.2901905000440047,-1.287772364028675
"Riskind (1984, Experiment 3)",2.222611077089287,chi2,18,-1.96,1.96,0.5099019513592785,-0.30985037185701314
"Riskind & Gotay (1982, Experiment 1)",2.7802877548915688,chi2,16,-1.96,1.96,0.6743188284134896,0.4900531856842544
"Riskind & Gotay (1982, Experiment 2)",2.03,t,18,-2.1009220402410387,1.7340636066175383,0.4657139397572403,-0.25030641878623816
"Strelan, Weick, & Vasiljevic (2014, Experiment 3)",2.21,t,79,-1.9904502102301287,1.9904502102301285,0.24708551151372674,-0.23955480364471224
"Welker et al. (2013, Experiment 2)",3.0724582991474434,chi2,80,-1.96,1.96,0.34138425546082707,0.2956649116526314
"Yap et al. (2013, Experiment 2)",2.009975124224178,chi2,29,-1.96,1.96,0.3669695718539436,-3.277252568953295
"Yap et al. (2013, Experiment 3)",2.029778313018444,chi2,66,-1.96,1.96,0.24797688866794185,-1.4944019597686782
